stage,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible
2,200,"(12, 24, 48)",elu,0.1,21.318096600676647,454.46124267578125,15.44876766204834,2113,200,cold,True
2,200,"(8, 16)",silu,0.2,80.98158789579888,6558.017578125,71.35023498535156,529,200,cold,True
2,200,"(12, 16)",elu,0.1,72.02690469539837,5187.875,63.515464782714844,777,200,cold,True
2,200,"(12,)",elu,0.2,91.63922766411227,8397.748046875,81.78829193115234,565,200,cold,True
2,200,"(48, 24)",elu,0.05,32.30427089362566,1043.56591796875,22.413061141967773,3409,200,cold,True
2,200,"(12, 16, 48)",elu,0.1,23.577059752692474,555.8777465820312,17.089502334594727,1625,200,cold,True
2,200,"(16, 32)",elu,0.1,35.55494585574119,1264.1541748046875,25.251569747924805,1313,200,cold,True
2,200,"(8, 16, 12)",silu,0.2,48.884385088377144,2389.68310546875,40.541107177734375,729,200,cold,True
2,200,"(4, 16, 8)",elu,0.2,56.5900959960641,3202.43896484375,48.49211120605469,409,200,cold,True
2,200,"(8, 16)",elu,0.1,79.72465432858583,6356.0205078125,70.242431640625,529,200,cold,True
2,200,"(24, 24)",relu,0.1,30.11270435179986,906.7749633789062,21.454952239990234,1729,200,cold,True
2,200,"(12, 24)",elu,0.05,55.14713318775623,3041.206298828125,45.866790771484375,889,200,cold,True
2,200,"(4, 16, 48)",relu,0.1,29.642605857637584,878.68408203125,21.725723266601562,1129,200,cold,True
2,200,"(24, 32, 64)",relu,0.1,18.67589849432451,348.7891845703125,13.085585594177246,4081,200,cold,True
2,200,"(24, 32, 48)",elu,0.05,16.64439052906367,277.0357360839844,11.728184700012207,3537,200,cold,True
2,200,"(64, 32)",elu,0.05,33.46174281805828,1119.688232421875,23.266321182250977,5057,200,warm,True
2,200,"(12, 24)",elu,0.1,45.73297903147957,2091.50537109375,36.255027770996094,889,200,warm,True
2,200,"(48, 24)",elu,0.1,28.63017446067064,819.6868896484375,20.188709259033203,3409,200,cold,True
2,200,"(12, 64)",elu,0.05,40.62242179318892,1650.18115234375,28.816186904907227,1449,200,cold,True
2,200,"(4, 16)",elu,0.05,90.46807534290757,8184.47265625,80.74886322021484,281,200,cold,True
2,200,"(8, 16, 64)",elu,0.2,20.49176083119483,419.9122619628906,14.680340766906738,1665,200,cold,True
2,200,"(8, 12, 48)",elu,0.1,31.770702911276018,1009.3775634765625,22.402040481567383,1149,200,cold,True
2,200,"(16, 32)",relu,0.05,31.06414655469992,964.981201171875,22.360401153564453,1313,200,cold,True
2,200,"(32, 32)",elu,0.05,33.95228729408374,1152.7578125,23.85063934326172,2561,200,cold,True
2,200,"(48, 32)",elu,0.05,27.73999722943502,769.5074462890625,20.11893081665039,3809,200,cold,True
2,200,"(16, 32)",relu,0.1,37.01856982270858,1370.37451171875,27.55742073059082,1313,200,cold,True
2,200,"(4,)",silu,0.2,92.36266198050487,8530.861328125,83.19491577148438,189,200,cold,True
2,200,"(4, 24)",elu,0.05,77.160363397845,5953.7216796875,68.23025512695312,329,200,cold,True
2,200,"(24, 24)",elu,0.1,32.95528642449209,1086.0509033203125,23.473230361938477,1729,200,cold,True
2,200,"(64, 48)",elu,0.1,21.36852500955516,456.6138610839844,15.419182777404785,6113,200,warm,True
2,200,"(12, 12, 48)",relu,0.05,24.67273960446719,608.7440795898438,17.83384895324707,1381,200,cold,True
2,200,"(32, 24, 48)",relu,0.05,19.409011226666724,376.709716796875,13.524566650390625,3513,200,cold,True
2,200,"(24, 24)",elu,0.05,65.3316920067799,4268.22998046875,57.31764602661133,1729,200,cold,True
2,200,"(16, 32, 24)",relu,0.1,22.379977732793044,500.8634033203125,15.949756622314453,2097,200,cold,True
2,200,"(8, 16, 64)",relu,0.1,24.494141170087108,599.9629516601562,17.741867065429688,1665,200,cold,True
2,200,"(16, 32)",relu,0.2,30.152179534223766,909.1539306640625,21.62322998046875,1313,200,cold,True
2,200,"(16, 16)",elu,0.2,60.390982777077326,3647.07080078125,51.969970703125,1025,200,warm,True
2,200,"(16, 32, 64)",relu,0.2,21.53590978241342,463.79541015625,15.401989936828613,3457,200,cold,True
2,200,"(4, 16)",elu,0.1,84.94009837821004,7214.8203125,76.00650787353516,281,200,cold,True
2,200,"(12, 12)",relu,0.05,70.16926034707969,4923.72509765625,61.972564697265625,721,200,cold,True
2,200,"(16, 16)",elu,0.1,74.55304319744432,5558.15625,65.86490631103516,1025,200,cold,True
2,200,"(24, 24, 64)",relu,0.1,21.13898000921705,446.8564758300781,14.777043342590332,3369,200,cold,True
2,200,"(4, 24, 48)",silu,0.1,37.15609066145398,1380.5750732421875,26.95252227783203,1553,200,cold,True
2,200,"(48, 24, 24)",silu,0.1,21.53621657273111,463.8086242675781,15.218148231506348,4009,200,cold,True
2,200,"(12, 48, 32)",relu,0.2,22.62502427916515,511.8917236328125,16.172313690185547,2777,200,cold,True
2,200,"(32, 24, 64)",elu,0.1,18.53242002656468,343.4505920410156,13.338010787963867,3929,200,cold,True
2,200,"(32, 32)",elu,0.0,29.659356520316127,879.6774291992188,20.36324691772461,2561,200,cold,True
2,200,"(4, 12, 32)",elu,0.1,54.31001639531492,2949.577880859375,46.030479431152344,693,200,cold,True
2,200,"(24, 32)",relu,0.2,29.535865834701184,872.3673706054688,20.90172004699707,1937,200,cold,True
3,400,"(12, 16, 48)",elu,0.1,15.30815467681768,234.339599609375,11.001676559448242,1625,400,warm,True
3,400,"(4, 24)",silu,0.2,43.14628239570951,1861.6016845703125,31.36627197265625,329,400,cold,True
3,400,"(48, 24, 64)",elu,0.1,13.060605728566738,170.5794219970703,9.116753578186035,5049,400,cold,True
